,0
SOUCET_HLASU,4577536
Svoboda a př. demokracie (SPD)_votes,456017
"SPOLU – ODS, KDU-ČSL, TOP 09_votes",1221892
PIRÁTI a STAROSTOVÉ_votes,685888
ANO 2011_votes,1283598
Svoboda a př. demokracie (SPD)_percent,9.96
"SPOLU – ODS, KDU-ČSL, TOP 09_percent",26.69
PIRÁTI a STAROSTOVÉ_percent,14.98
ANO 2011_percent,28.04
