,0
SOUCET_HLASU,5342505
Svoboda a př. demokracie (SPD)_votes,512264
"SPOLU – ODS, KDU-ČSL, TOP 09_votes",1481534
PIRÁTI a STAROSTOVÉ_votes,830761
ANO 2011_votes,1453143
Svoboda a př. demokracie (SPD)_percent,9.59
"SPOLU – ODS, KDU-ČSL, TOP 09_percent",27.73
PIRÁTI a STAROSTOVÉ_percent,15.55
ANO 2011_percent,27.2
