,0
SOUCET_HLASU,4354670
Svoboda a př. demokracie (SPD)_votes,436433
"SPOLU – ODS, KDU-ČSL, TOP 09_votes",1153815
PIRÁTI a STAROSTOVÉ_votes,649400
ANO 2011_votes,1227215
Svoboda a př. demokracie (SPD)_percent,10.02
"SPOLU – ODS, KDU-ČSL, TOP 09_percent",26.5
PIRÁTI a STAROSTOVÉ_percent,14.91
ANO 2011_percent,28.18
