,0
SOUCET_HLASU,2561970
Svoboda a př. demokracie (SPD)_votes,268362
"SPOLU – ODS, KDU-ČSL, TOP 09_votes",645707
PIRÁTI a STAROSTOVÉ_votes,363793
ANO 2011_votes,749633
Svoboda a př. demokracie (SPD)_percent,10.47
"SPOLU – ODS, KDU-ČSL, TOP 09_percent",25.2
PIRÁTI a STAROSTOVÉ_percent,14.2
ANO 2011_percent,29.26
