,0
SOUCET_HLASU,118108
Svoboda a př. demokracie (SPD)_votes,12908
"SPOLU – ODS, KDU-ČSL, TOP 09_votes",27940
PIRÁTI a STAROSTOVÉ_votes,15362
ANO 2011_votes,36089
Svoboda a př. demokracie (SPD)_percent,10.93
"SPOLU – ODS, KDU-ČSL, TOP 09_percent",23.66
PIRÁTI a STAROSTOVÉ_percent,13.01
ANO 2011_percent,30.56
