,0
SOUCET_HLASU,3260094
Svoboda a př. demokracie (SPD)_votes,336344
"SPOLU – ODS, KDU-ČSL, TOP 09_votes",836604
PIRÁTI a STAROSTOVÉ_votes,470326
ANO 2011_votes,942267
Svoboda a př. demokracie (SPD)_percent,10.32
"SPOLU – ODS, KDU-ČSL, TOP 09_percent",25.66
PIRÁTI a STAROSTOVÉ_percent,14.43
ANO 2011_percent,28.9
