,0
SOUCET_HLASU,4952216
Svoboda a př. demokracie (SPD)_votes,486650
"SPOLU – ODS, KDU-ČSL, TOP 09_votes",1341248
PIRÁTI a STAROSTOVÉ_votes,752587
ANO 2011_votes,1372379
Svoboda a př. demokracie (SPD)_percent,9.83
"SPOLU – ODS, KDU-ČSL, TOP 09_percent",27.08
PIRÁTI a STAROSTOVÉ_percent,15.2
ANO 2011_percent,27.71
