,0
SOUCET_HLASU,5360619
Svoboda a př. demokracie (SPD)_votes,513226
"SPOLU – ODS, KDU-ČSL, TOP 09_votes",1488598
PIRÁTI a STAROSTOVÉ_votes,835460
ANO 2011_votes,1455924
Svoboda a př. demokracie (SPD)_percent,9.57
"SPOLU – ODS, KDU-ČSL, TOP 09_percent",27.77
PIRÁTI a STAROSTOVÉ_percent,15.59
ANO 2011_percent,27.16
