,0
SOUCET_HLASU,5308641
Svoboda a př. demokracie (SPD)_votes,510412
"SPOLU – ODS, KDU-ČSL, TOP 09_votes",1469054
PIRÁTI a STAROSTOVÉ_votes,822995
ANO 2011_votes,1446664
Svoboda a př. demokracie (SPD)_percent,9.61
"SPOLU – ODS, KDU-ČSL, TOP 09_percent",27.67
PIRÁTI a STAROSTOVÉ_percent,15.5
ANO 2011_percent,27.25
