,0
SOUCET_HLASU,5133520
Svoboda a př. demokracie (SPD)_votes,499425
"SPOLU – ODS, KDU-ČSL, TOP 09_votes",1404175
PIRÁTI a STAROSTOVÉ_votes,786715
ANO 2011_votes,1412105
Svoboda a př. demokracie (SPD)_percent,9.73
"SPOLU – ODS, KDU-ČSL, TOP 09_percent",27.35
PIRÁTI a STAROSTOVÉ_percent,15.33
ANO 2011_percent,27.51
