,0
SOUCET_HLASU,5365399
Svoboda a př. demokracie (SPD)_votes,513440
"SPOLU – ODS, KDU-ČSL, TOP 09_votes",1490492
PIRÁTI a STAROSTOVÉ_votes,836650
ANO 2011_votes,1456756
Svoboda a př. demokracie (SPD)_percent,9.57
"SPOLU – ODS, KDU-ČSL, TOP 09_percent",27.78
PIRÁTI a STAROSTOVÉ_percent,15.59
ANO 2011_percent,27.15
