,0
SOUCET_HLASU,4666901
Svoboda a př. demokracie (SPD)_votes,463300
"SPOLU – ODS, KDU-ČSL, TOP 09_votes",1250197
PIRÁTI a STAROSTOVÉ_votes,701287
ANO 2011_votes,1305105
Svoboda a př. demokracie (SPD)_percent,9.93
"SPOLU – ODS, KDU-ČSL, TOP 09_percent",26.79
PIRÁTI a STAROSTOVÉ_percent,15.03
ANO 2011_percent,27.97
