,0
SOUCET_HLASU,5247320
Svoboda a př. demokracie (SPD)_votes,506563
"SPOLU – ODS, KDU-ČSL, TOP 09_votes",1446379
PIRÁTI a STAROSTOVÉ_votes,809956
ANO 2011_votes,1434780
Svoboda a př. demokracie (SPD)_percent,9.65
"SPOLU – ODS, KDU-ČSL, TOP 09_percent",27.56
PIRÁTI a STAROSTOVÉ_percent,15.44
ANO 2011_percent,27.34
