,0
SOUCET_HLASU,5338906
Svoboda a př. demokracie (SPD)_votes,512085
"SPOLU – ODS, KDU-ČSL, TOP 09_votes",1480278
PIRÁTI a STAROSTOVÉ_votes,829816
ANO 2011_votes,1452486
Svoboda a př. demokracie (SPD)_percent,9.59
"SPOLU – ODS, KDU-ČSL, TOP 09_percent",27.73
PIRÁTI a STAROSTOVÉ_percent,15.54
ANO 2011_percent,27.21
