,0
SOUCET_HLASU,183792
Svoboda a př. demokracie (SPD)_votes,20329
"SPOLU – ODS, KDU-ČSL, TOP 09_votes",43461
PIRÁTI a STAROSTOVÉ_votes,24039
ANO 2011_votes,55844
Svoboda a př. demokracie (SPD)_percent,11.06
"SPOLU – ODS, KDU-ČSL, TOP 09_percent",23.65
PIRÁTI a STAROSTOVÉ_percent,13.08
ANO 2011_percent,30.38
