,0
SOUCET_HLASU,74180
Svoboda a př. demokracie (SPD)_votes,8035
"SPOLU – ODS, KDU-ČSL, TOP 09_votes",17654
PIRÁTI a STAROSTOVÉ_votes,9618
ANO 2011_votes,22775
Svoboda a př. demokracie (SPD)_percent,10.83
"SPOLU – ODS, KDU-ČSL, TOP 09_percent",23.8
PIRÁTI a STAROSTOVÉ_percent,12.97
ANO 2011_percent,30.7
