,0
SOUCET_HLASU,5370085
Svoboda a př. demokracie (SPD)_votes,513691
"SPOLU – ODS, KDU-ČSL, TOP 09_votes",1492076
PIRÁTI a STAROSTOVÉ_votes,838108
ANO 2011_votes,1457491
Svoboda a př. demokracie (SPD)_percent,9.57
"SPOLU – ODS, KDU-ČSL, TOP 09_percent",27.78
PIRÁTI a STAROSTOVÉ_percent,15.61
ANO 2011_percent,27.14
