,0
SOUCET_HLASU,5302630
Svoboda a př. demokracie (SPD)_votes,510069
"SPOLU – ODS, KDU-ČSL, TOP 09_votes",1466788
PIRÁTI a STAROSTOVÉ_votes,821631
ANO 2011_votes,1445520
Svoboda a př. demokracie (SPD)_percent,9.62
"SPOLU – ODS, KDU-ČSL, TOP 09_percent",27.66
PIRÁTI a STAROSTOVÉ_percent,15.49
ANO 2011_percent,27.26
