,0
SOUCET_HLASU,3883056
Svoboda a př. demokracie (SPD)_votes,394146
"SPOLU – ODS, KDU-ČSL, TOP 09_votes",1015118
PIRÁTI a STAROSTOVÉ_votes,570481
ANO 2011_votes,1106315
Svoboda a př. demokracie (SPD)_percent,10.15
"SPOLU – ODS, KDU-ČSL, TOP 09_percent",26.14
PIRÁTI a STAROSTOVÉ_percent,14.69
ANO 2011_percent,28.49
