,0
SOUCET_HLASU,3684890
Svoboda a př. demokracie (SPD)_votes,376047
"SPOLU – ODS, KDU-ČSL, TOP 09_votes",957638
PIRÁTI a STAROSTOVÉ_votes,537936
ANO 2011_votes,1054651
Svoboda a př. demokracie (SPD)_percent,10.21
"SPOLU – ODS, KDU-ČSL, TOP 09_percent",25.99
PIRÁTI a STAROSTOVÉ_percent,14.6
ANO 2011_percent,28.62
