,0
SOUCET_HLASU,5368050
Svoboda a př. demokracie (SPD)_votes,513545
"SPOLU – ODS, KDU-ČSL, TOP 09_votes",1491454
PIRÁTI a STAROSTOVÉ_votes,837519
ANO 2011_votes,1457156
Svoboda a př. demokracie (SPD)_percent,9.57
"SPOLU – ODS, KDU-ČSL, TOP 09_percent",27.78
PIRÁTI a STAROSTOVÉ_percent,15.6
ANO 2011_percent,27.14
