,0
SOUCET_HLASU,5276797
Svoboda a př. demokracie (SPD)_votes,508449
"SPOLU – ODS, KDU-ČSL, TOP 09_votes",1457146
PIRÁTI a STAROSTOVÉ_votes,816251
ANO 2011_votes,1440465
Svoboda a př. demokracie (SPD)_percent,9.64
"SPOLU – ODS, KDU-ČSL, TOP 09_percent",27.61
PIRÁTI a STAROSTOVÉ_percent,15.47
ANO 2011_percent,27.3
