,0
SOUCET_HLASU,5375090
Svoboda a př. demokracie (SPD)_votes,513910
"SPOLU – ODS, KDU-ČSL, TOP 09_votes",1493905
PIRÁTI a STAROSTOVÉ_votes,839776
ANO 2011_votes,1458140
Svoboda a př. demokracie (SPD)_percent,9.56
"SPOLU – ODS, KDU-ČSL, TOP 09_percent",27.79
PIRÁTI a STAROSTOVÉ_percent,15.62
ANO 2011_percent,27.13
