,0
SOUCET_HLASU,4472247
Svoboda a př. demokracie (SPD)_votes,446919
"SPOLU – ODS, KDU-ČSL, TOP 09_votes",1189580
PIRÁTI a STAROSTOVÉ_votes,669122
ANO 2011_votes,1256862
Svoboda a př. demokracie (SPD)_percent,9.99
"SPOLU – ODS, KDU-ČSL, TOP 09_percent",26.6
PIRÁTI a STAROSTOVÉ_percent,14.96
ANO 2011_percent,28.1
