,0
SOUCET_HLASU,5364137
Svoboda a př. demokracie (SPD)_votes,513381
"SPOLU – ODS, KDU-ČSL, TOP 09_votes",1490010
PIRÁTI a STAROSTOVÉ_votes,836344
ANO 2011_votes,1456524
Svoboda a př. demokracie (SPD)_percent,9.57
"SPOLU – ODS, KDU-ČSL, TOP 09_percent",27.78
PIRÁTI a STAROSTOVÉ_percent,15.59
ANO 2011_percent,27.15
