,0
SOUCET_HLASU,10870
Svoboda a př. demokracie (SPD)_votes,1207
"SPOLU – ODS, KDU-ČSL, TOP 09_votes",2445
PIRÁTI a STAROSTOVÉ_votes,1351
ANO 2011_votes,3461
Svoboda a př. demokracie (SPD)_percent,11.1
"SPOLU – ODS, KDU-ČSL, TOP 09_percent",22.49
PIRÁTI a STAROSTOVÉ_percent,12.43
ANO 2011_percent,31.84
